Id,Time
5,0
5,2
5,3
5,3
5,5
5,7
5,8
5,8
5,15
5,15
5,16
5,16
5,17
5,18
5,18
5,19
5,20
5,21
5,21
5,21
5,22
5,22
5,22
5,23
5,23
5,23
5,23
5,23
5,23
5,23
5,24
5,24
5,24
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
5,25
1,0
1,1
1,1
1,2
1,2
1,2
1,3
1,3
1,4
1,4
1,4
1,5
1,5
1,6
1,6
1,7
1,7
1,9
1,9
1,10
1,10
1,10
1,11
1,11
1,12
1,12
1,13
1,13
1,13
1,14
1,14
1,14
1,14
1,15
1,15
1,15
1,15
1,16
1,16
1,16
1,16
1,17
1,17
1,17
1,17
1,18
1,18
1,18
1,18
1,19
2,0
2,0
2,0
2,1
2,1
2,1
2,1
2,1
2,1
2,2
2,2
2,2
2,2
2,4
2,4
2,4
2,4
2,4
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,6
2,6
2,6
2,6
2,6
2,7
2,7
2,7
2,7
2,7
2,7
2,8
2,8
2,8
2,8
2,8
2,9
2,9
2,9
2,9
2,10
2,10
2,10
2,10
2,10
3,1
3,1
3,1
3,1
3,1
3,1
3,2
3,2
3,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,5
3,5
3,5
3,5
3,5
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,7
3,7
3,7
3,7
3,7
3,7
3,7
3,7
3,7
3,8
3,8
3,8
4,1
4,1
4,1
4,2
4,2
4,2
4,3
4,3
4,3
4,3
4,3
4,4
4,4
4,4
4,4
4,4
4,5
4,6
4,7
4,7
4,7
4,7
4,7
4,7
4,7
4,7
4,8
4,8
4,8
4,8
4,8
4,8
4,9
4,9
4,11
4,13
4,18
4,20
4,20
4,21
4,22
4,23
4,24
4,25
4,25
4,25
4,25
4,25
4,25
4,25
5,1
5,1
5,2
5,2
5,2
5,2
5,3
5,3
5,3
5,3
5,3
5,4
5,4
5,4
5,4
5,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,6
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,7
5,8
5,8
5,8
5,8
5,8
5,9
5,9
5,9
5,9
5,9
5,9
5,9
5,9
5,9
3,22
3,27
3,27
3,28
3,28
3,28
3,28
3,33
3,39
3,40
3,41
3,48
3,48
3,48
3,49
3,49
3,51
3,90
3,90
3,90
3,90
3,90
3,91
3,91
3,91
3,91
3,91
3,91
3,91
3,92
3,92
3,92
3,92
3,92
3,92
3,92
3,92
3,92
3,93
3,93
3,93
3,93
3,93
3,93
3,93
3,94
3,95
3,95
3,96
3,97
2,1
2,7
2,7
2,7
2,8
2,8
2,18
2,28
2,28
2,29
2,29
2,30
2,31
2,31
2,32
2,32
2,33
2,33
2,34
2,35
2,46
2,48
2,50
2,50
2,50
2,50
2,51
2,51
2,51
2,51
2,52
2,52
2,53
2,53
2,53
2,53
2,54
2,54
2,54
2,54
2,55
2,86
2,101
2,102
2,102
2,104
2,105
2,108
2,108
2,108
1,1
1,9
1,9
1,9
1,9
1,9
1,10
1,10
1,10
1,10
1,10
1,11
1,11
1,11
1,11
1,11
1,12
1,12
1,12
1,12
1,13
1,13
1,13
1,14
1,14
1,14
1,14
1,30
1,38
1,39
1,40
1,43
1,44
1,45
1,48
1,57
1,65
1,65
1,66
1,66
1,86
1,102
1,103
1,103
1,104
1,108
1,109
1,109
1,109
1,109
5,8
5,11
5,21
5,49
5,49
5,50
5,50
5,50
5,50
5,50
5,50
5,51
5,51
5,51
5,51
5,51
5,52
5,52
5,52
5,52
5,52
5,52
5,53
5,53
5,53
5,53
5,53
5,53
5,54
5,54
5,54
5,54
5,54
5,54
5,55
5,55
5,55
5,55
5,60
5,65
5,67
5,67
5,72
5,78
5,78
5,79
5,79
5,79
5,79
5,79
4,33
4,37
4,40
4,50
4,50
4,50
4,51
4,51
4,51
4,51
4,52
4,52
4,52
4,53
4,53
4,53
4,54
4,54
4,54
4,54
4,55
4,57
4,84
4,84
4,84
4,85
4,86
4,86
4,86
4,87
4,87
4,87
4,87
4,87
4,87
4,88
4,88
4,88
4,88
4,94
4,95
4,96
4,109
4,109
4,109
4,109
4,109
4,109
4,110
4,110
